iter	Passed	Remaining
399	29568	7392
400	29672	7325
401	29803	7265
402	29917	7201
403	30019	7133
404	30137	7069
405	30240	7001
406	30363	6938
407	30496	6876
408	30605	6809
409	30730	6745
410	30855	6681
411	30921	6604
412	30985	6527
413	31030	6445
414	31098	6369
415	31156	6291
416	31218	6213
417	31281	6136
418	31348	6060
419	31402	5981
420	31464	5904
421	31525	5826
422	31594	5751
423	31673	5677
424	31732	5599
425	31833	5529
426	31899	5453
427	31970	5378
428	32025	5300
429	32077	5221
430	32130	5143
431	32198	5068
432	32274	4993
433	32375	4923
434	32507	4857
435	32647	4792
436	32761	4723
437	32863	4651
438	33015	4587
439	33136	4518
440	33244	4447
441	33391	4381
442	33503	4310
443	33621	4240
444	33744	4170
445	33837	4096
446	33896	4019
447	33962	3942
448	34021	3864
449	34095	3788
450	34158	3711
451	34241	3636
452	34302	3558
453	34358	3481
454	34460	3408
455	34522	3331
456	34577	3253
457	34627	3175
458	34699	3099
459	34756	3022
460	34829	2946
461	34887	2869
462	34952	2793
463	35019	2716
464	35078	2640
465	35130	2563
466	35195	2487
467	35247	2410
468	35303	2333
469	35363	2257
470	35456	2183
471	35562	2109
472	35675	2036
473	35779	1962
474	35904	1889
475	36009	1815
476	36121	1741
477	36225	1667
478	36328	1592
479	36437	1518
480	36557	1444
481	36663	1369
482	36752	1293
483	36865	1218
484	36932	1142
485	37004	1065
486	37070	989
487	37165	913
488	37225	837
489	37276	760
490	37329	684
491	37377	607
492	37442	531
493	37524	455
494	37593	379
495	37674	303
496	37731	227
497	37794	151
498	37859	75
499	37927	0
